Original comparison	Species	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	A1	A2	A3	B1	B2	B3
25Vs12.5	yeast	Q06252	>sp|Q06252|YL179_YEAST Uncharacterized protein YLR179C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR179C PE=1 SV=1	4	4	4	25.4	25.4	25.4	22.151	2.86E+07	2.61E+07	2.40E+07	2.99E+07	3.02E+07	2.93E+07
25Vs12.5	yeast	P52553	>sp|P52553|PFD6_YEAST Prefoldin subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKE2 PE=1 SV=1	1	1	1	14.9	14.9	14.9	13.284	8.26E+06	7.90E+06	7.58E+06	9.39E+06	9.11E+06	8.54E+06
25Vs12.5	yeast	P00128	>sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR7 PE=1 SV=2	4	4	4	37	37	37	14.565	1.79E+07	1.48E+07	1.66E+07	1.81E+07	1.93E+07	1.85E+07
25Vs12.5	yeast	Q12165	>sp|Q12165|ATPD_YEAST ATP synthase subunit delta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP16 PE=1 SV=1	1	1	1	15	15	15	17.02	2.48E+07	2.34E+07	2.35E+07	2.70E+07	2.65E+07	2.82E+07
50Vs5	yeast	P05755	>sp|P05755|RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9B PE=1 SV=4	13	1	1	50.3	8.2	8.2	22.298	6.35E+06	6.46E+06	7.18E+06	5.00E+06	5.51E+06	5.56E+06
50Vs0.5	yeast	Q01519	>sp|Q01519|COX12_YEAST Cytochrome c oxidase subunit 6B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX12 PE=1 SV=2	2	2	2	34.9	34.9	34.9	9.7878	1.83E+07	2.82E+07	2.89E+07		2.86E+07	2.96E+07
50Vs5	yeast	P32867	>sp|P32867|SSO1_YEAST Protein SSO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSO1 PE=1 SV=2	1	1	1	5.2	5.2	5.2	33.106	2.69E+06	3.20E+06	3.75E+06		1.95E+06	2.05E+06
50Vs0.5	yeast	P38912	>sp|P38912|IF1A_YEAST Eukaryotic translation initiation factor 1A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF11 PE=1 SV=1	3	3	3	22.2	22.2	22.2	17.435	1.80E+07	1.87E+07	2.05E+07	9.82E+06	1.05E+07	1.85E+07
50Vs5	yeast	P38717	>sp|P38717|SIP3_YEAST Protein SIP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIP3 PE=1 SV=1	1	1	1	0.8	0.8	0.8	142.82	1.50E+07	1.56E+07	1.55E+07	1.32E+07	1.23E+07	1.18E+07
50Vs5	yeast	P53281;REV__P40040	>sp|P53281|LSB1_YEAST LAS seventeen-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB1 PE=1 SV=1;>sp|P40040|THO1_YEAST Protein THO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THO1 PE=1 SV=1	2	2	2	9.1	9.1	9.1	26.139	8.11E+06	7.24E+06	9.40E+06	1.22E+07	1.16E+07	1.34E+07
50Vs5	yeast	P36136	>sp|P36136|SHB17_YEAST Sedoheptulose 1,7-bisphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHB17 PE=1 SV=1	2	2	2	8.1	8.1	8.1	31.022	1.35E+07	1.63E+07	1.16E+07	1.62E+07	2.20E+07	2.46E+07
50Vs0.5	yeast	P0C0T4;Q3E792	>sp|P0C0T4|RS25B_YEAST 40S ribosomal protein S25-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS25B PE=1 SV=1;>sp|Q3E792|RS25A_YEAST 40S ribosomal protein S25-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS25A PE=1 SV=1	3	3	3	22.2	22.2	22.2	12.009	5.61E+07	5.39E+07	4.28E+07	3.39E+07	2.93E+07	3.61E+07
50Vs5	yeast	P38810	>sp|P38810|SFB3_YEAST SED5-binding protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFB3 PE=1 SV=1	2	2	2	2.8	2.8	2.8	103.95	1.43E+06	2.00E+06	1.67E+06	1.59E+06	1.24E+06	1.28E+06
50Vs0.5	yeast	O14467	>sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBF1 PE=1 SV=2	2	2	2	13.2	13.2	13.2	16.403	8.95E+06	1.19E+07	1.06E+07		8.58E+06	7.68E+06
25Vs12.5	yeast	P05739	>sp|P05739|RL6B_YEAST 60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL6B PE=1 SV=4	7	3	3	43.2	20.5	20.5	19.986	5.63E+07	5.85E+07	5.75E+07	3.95E+07	6.19E+07	5.89E+07
50Vs5	yeast	P32468	>sp|P32468|CDC12_YEAST Cell division control protein 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC12 PE=1 SV=1	1	1	1	2.2	2.2	2.2	46.667	2.04E+06	1.67E+06	1.98E+06		2.10E+06	2.60E+06
25Vs12.5	yeast	P38295	>sp|P38295|MCFS2_YEAST Medium-chain fatty acid ethyl ester synthase/esterase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EHT1 PE=1 SV=1	2	2	2	6.7	6.7	6.7	51.255	5.09E+06	4.85E+06	5.25E+06		5.14E+06	5.15E+06
50Vs5	yeast	P29704	>sp|P29704|FDFT_YEAST Squalene synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG9 PE=1 SV=2	2	2	2	5	5	5	51.719	3.09E+06	3.26E+06	3.18E+06		1.33E+06	3.03E+06
50Vs5	yeast	P07275	>sp|P07275|PUT2_YEAST Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUT2 PE=1 SV=2	2	2	2	6.3	6.3	6.3	64.434	9.69E+06	1.07E+07	9.14E+06		1.11E+07	1.08E+07
25Vs12.5	yeast	P43593	>sp|P43593|UBP6_YEAST Ubiquitin carboxyl-terminal hydrolase 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP6 PE=1 SV=1	3	3	3	8.4	8.4	8.4	57.11	1.75E+07	1.43E+07	1.46E+07	1.79E+07	1.70E+07	1.76E+07
25Vs12.5	yeast	P38115	>sp|P38115|ARA1_YEAST D-arabinose dehydrogenase [NAD(P)+] heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARA1 PE=1 SV=1	5	5	5	21.2	21.2	21.2	38.883	5.74E+07	4.96E+07	5.24E+07	6.28E+07	6.01E+07	5.77E+07
25Vs12.5	yeast	C7GQJ1;A6ZL22;B5VE42;P38248	>sp|C7GQJ1|ECM33_YEAS2 Cell wall protein ECM33 OS=Saccharomyces cerevisiae (strain JAY291) GN=ECM33 PE=3 SV=1;>sp|A6ZL22|ECM33_YEAS7 Cell wall protein ECM33 OS=Saccharomyces cerevisiae (strain YJM789) GN=ECM33 PE=3 SV=2;>sp|B5VE42|ECM33_YEAS6 Cell wall pro	2	2	2	5.8	5.8	5.8	43.842	3.91E+07	3.93E+07	3.55E+07	2.94E+07	3.92E+07	3.62E+07
50Vs5	yeast	P21304	>sp|P21304|PWP1_YEAST Periodic tryptophan protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PWP1 PE=1 SV=1	1	1	1	2.3	2.3	2.3	63.803	1.64E+06	2.12E+06	2.30E+06	1.58E+06	1.48E+06	1.84E+06
50Vs5	yeast	P39976	>sp|P39976|DLD3_YEAST D-lactate dehydrogenase [cytochrome] 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD3 PE=1 SV=1	1	1	1	2.2	2.2	2.2	55.224	1.07E+07	9.35E+06	6.48E+06	9.46E+06	1.50E+07	1.55E+07
25Vs12.5	yeast	P39533	>sp|P39533|ACON2_YEAST Probable aconitate hydratase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO2 PE=1 SV=1	6	5	5	8.4	7.5	7.5	86.582	7.97E+06	8.59E+06	7.00E+06	1.01E+07	8.51E+06	8.17E+06
25Vs12.5	yeast	P53141	>sp|P53141|MLC1_YEAST Myosin light chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MLC1 PE=1 SV=1	5	5	5	45.6	45.6	45.6	16.444	6.74E+07	6.39E+07	6.55E+07	7.56E+07	7.29E+07	7.46E+07
50Vs5	yeast	P52553	>sp|P52553|PFD6_YEAST Prefoldin subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKE2 PE=1 SV=1	1	1	1	14.9	14.9	14.9	13.284	6.85E+06	6.19E+06	6.89E+06	9.92E+06	9.42E+06	1.05E+07
25Vs12.5	yeast	P11633	>sp|P11633|NHP6B_YEAST Non-histone chromosomal protein 6B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHP6B PE=1 SV=3	1	1	1	13.1	13.1	13.1	11.476	1.10E+07	1.16E+07	1.03E+07	1.03E+07	1.00E+07	9.74E+06
25Vs12.5	yeast	Q02805	>sp|Q02805|ROD1_YEAST Protein ROD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ROD1 PE=1 SV=1	1	1	1	1	1	1	92.348	6.80E+06	5.60E+06	5.86E+06	5.41E+06	5.22E+06	6.05E+06
50Vs0.5	yeast	Q12349	>sp|Q12349|ATP14_YEAST ATP synthase subunit H, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP14 PE=1 SV=1	2	2	2	33.1	33.1	33.1	14.128	7.79E+06	8.54E+06	8.49E+06	5.01E+06	5.82E+06	5.63E+06
25Vs12.5	yeast	P80235	>sp|P80235|CACM_YEAST Putative mitochondrial carnitine O-acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAT1 PE=1 SV=2	1	1	1	1.7	1.7	1.7	77.765	2.73E+06	4.45E+06	3.73E+06		3.53E+06	2.65E+06
50Vs0.5	yeast	A6ZR21;B3LRI4;C7GRP9;C8Z773;P40043	>sp|A6ZR21|RGI1_YEAS7 Respiratory growth induced protein 1 OS=Saccharomyces cerevisiae (strain YJM789) GN=RGI1 PE=3 SV=1;>sp|B3LRI4|RGI1_YEAS1 Respiratory growth induced protein 1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=RGI1 PE=3 SV=1;>sp|C7GRP9|RG	3	3	3	36	36	36	18.989	1.19E+08	1.18E+08	1.32E+08	7.52E+07	8.10E+07	8.85E+07
25Vs12.5	yeast	P16387	>sp|P16387|ODPA_YEAST Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDA1 PE=1 SV=2	2	2	2	4.8	4.8	4.8	46.343	1.13E+07	1.09E+07	1.00E+07	1.14E+07	1.37E+07	1.16E+07
25Vs12.5	yeast	P41811	>sp|P41811|COPB2_YEAST Coatomer subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC27 PE=1 SV=1	5	5	5	7.1	7.1	7.1	99.444	2.87E+07	3.41E+07	3.36E+07	2.67E+07	3.07E+07	3.09E+07
25Vs12.5	yeast	P20107	>sp|P20107|ZRC1_YEAST Zinc/cadmium resistance protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZRC1 PE=1 SV=2	1	1	1	3.8	3.8	3.8	48.344	5.02E+06	3.96E+06	5.23E+06	4.31E+06	4.54E+06	4.09E+06
25Vs12.5	yeast	P47912	>sp|P47912|LCF4_YEAST Long-chain-fatty-acid--CoA ligase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAA4 PE=1 SV=1	1	1	1	2.3	2.3	2.3	77.266	2.21E+06	1.97E+06	2.30E+06		2.13E+06	1.82E+06
50Vs0.5	yeast	P43555	>sp|P43555|EMP47_YEAST Protein EMP47 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMP47 PE=1 SV=1	2	2	2	4.3	4.3	4.3	50.33	1.63E+06	2.62E+06	2.65E+06		3.13E+06	2.72E+06
25Vs12.5	yeast	P0CX80;P0CX81	>sp|P0CX80|MTCU1_YEAST Copper metallothionein 1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP1-1 PE=1 SV=1;>sp|P0CX81|MTCU2_YEAST Copper metallothionein 1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP1-2 PE=1 SV=1	1	1	1	31.1	31.1	31.1	6.6504	5.68E+07	7.17E+07	6.61E+07	6.36E+07	5.83E+07	5.59E+07
50Vs5	yeast	P32602	>sp|P32602|SEC17_YEAST Alpha-soluble NSF attachment protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC17 PE=1 SV=4	3	3	3	15.8	15.8	15.8	32.802	5.15E+06	5.52E+06	4.91E+06	7.96E+06	7.51E+06	7.75E+06
50Vs5	yeast	P38061	>sp|P38061|RL32_YEAST 60S ribosomal protein L32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL32 PE=1 SV=1	5	5	5	35.4	35.4	35.4	14.771	1.49E+08	1.58E+08	1.47E+08	1.04E+08	1.34E+08	1.37E+08
25Vs12.5	yeast	P07143	>sp|P07143|CY1_YEAST Cytochrome c1, heme protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYT1 PE=1 SV=1	2	2	2	9.4	9.4	9.4	34.054	1.32E+07	1.58E+07	1.44E+07	1.37E+07	1.29E+07	1.32E+07
25Vs12.5	yeast	A6ZKM4;P38182	>sp|A6ZKM4|ATG8_YEAS7 Autophagy-related protein 8 OS=Saccharomyces cerevisiae (strain YJM789) GN=ATG8 PE=3 SV=1;>sp|P38182|ATG8_YEAST Autophagy-related protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG8 PE=1 SV=1	1	1	1	14.5	14.5	14.5	13.627	1.48E+07	1.07E+07	1.10E+07	1.04E+07	1.49E+07	1.61E+07
50Vs5	yeast	P53731	>sp|P53731|ARPC2_YEAST Actin-related protein 2/3 complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC35 PE=1 SV=1	4	4	4	13.5	13.5	13.5	39.566	1.99E+07	1.74E+07	1.49E+07	1.05E+07	1.65E+07	1.63E+07
25Vs12.5	yeast	P40029	>sp|P40029|MSRA_YEAST Peptide methionine sulfoxide reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MXR1 PE=1 SV=1	2	2	2	12	12	12	21.141	2.77E+06	2.90E+06	3.27E+06	2.54E+06	2.97E+06	2.70E+06
25Vs12.5	yeast	P17555	>sp|P17555|CAP_YEAST Adenylyl cyclase-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRV2 PE=1 SV=1	5	5	5	15	15	15	57.521	2.86E+07	2.67E+07	2.75E+07	3.29E+07	2.97E+07	3.10E+07
25Vs12.5	yeast	Q02753;Q12672	>sp|Q02753|RL21A_YEAST 60S ribosomal protein L21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL21A PE=1 SV=1;>sp|Q12672|RL21B_YEAST 60S ribosomal protein L21-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL21B PE=1 SV=1	4	4	4	29.4	29.4	29.4	18.242	1.51E+08	1.78E+08	1.79E+08	1.57E+08	1.55E+08	1.53E+08
50Vs5	yeast	P15700	>sp|P15700|UMPK_YEAST Uridylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA6 PE=1 SV=1	2	2	2	11.3	11.3	11.3	22.933	6.76E+06	6.03E+06	7.34E+06		6.18E+06	6.41E+06
25Vs12.5	yeast	P38886	>sp|P38886|RPN10_YEAST 26S proteasome regulatory subunit RPN10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN10 PE=1 SV=3	3	3	3	10.8	10.8	10.8	29.747	1.15E+07	1.04E+07	1.21E+07	1.67E+07	1.15E+07	1.08E+07
25Vs12.5	yeast	Q03104	>sp|Q03104|MSC1_YEAST Meiotic sister chromatid recombination protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSC1 PE=1 SV=1	3	3	3	7.6	7.6	7.6	59.588	8.55E+06	9.26E+06	9.51E+06	1.15E+07	1.01E+07	9.26E+06
50Vs5	yeast	P24000;P04449	>sp|P24000|RL24B_YEAST 60S ribosomal protein L24-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24B PE=1 SV=1;>sp|P04449|RL24A_YEAST 60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL24A PE=1 SV=1	5	5	5	26.5	26.5	26.5	17.547	1.40E+08	1.49E+08	1.52E+08	1.17E+08	1.21E+08	1.26E+08
25Vs12.5	yeast	P39676	>sp|P39676|FHP_YEAST Flavohemoprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHB1 PE=1 SV=2	16	16	16	68.2	68.2	68.2	44.646	5.53E+08	5.00E+08	5.09E+08	5.95E+08	5.97E+08	5.69E+08
25Vs12.5	yeast	P49090	>sp|P49090|ASNS2_YEAST Asparagine synthetase [glutamine-hydrolyzing] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASN2 PE=1 SV=2	10	6	6	24.3	17.1	17.1	64.592	8.93E+07	8.72E+07	9.11E+07	1.01E+08	1.02E+08	9.87E+07
25Vs12.5	yeast	P28319	>sp|P28319|CWP1_YEAST Cell wall protein CWP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CWP1 PE=1 SV=2	2	2	2	12.1	12.1	12.1	24.268	4.06E+06	3.53E+06	3.51E+06	3.64E+06	2.97E+06	3.61E+06
25Vs12.5	yeast	P15703	>sp|P15703|BGL2_YEAST Glucan 1,3-beta-glucosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BGL2 PE=1 SV=1	7	7	7	24.9	24.9	24.9	34.118	1.06E+08	1.09E+08	9.89E+07	1.21E+08	1.13E+08	1.20E+08
50Vs5	yeast	A6ZRZ6;P39013	>sp|A6ZRZ6|END3_YEAS7 Actin cytoskeleton-regulatory complex protein END3 OS=Saccharomyces cerevisiae (strain YJM789) GN=END3 PE=3 SV=1;>sp|P39013|END3_YEAST Actin cytoskeleton-regulatory complex protein END3 OS=Saccharomyces cerevisiae (strain ATCC 204508 	2	2	2	9.2	9.2	9.2	40.323	4.21E+06	5.24E+06	5.10E+06	7.97E+06	7.14E+06	6.37E+06
50Vs0.5	yeast	P05319	>sp|P05319|RLA2_YEAST 60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2A PE=1 SV=1	4	4	4	52.8	52.8	52.8	10.746	1.61E+08	1.82E+08	1.81E+08	1.15E+08	1.23E+08	1.15E+08
50Vs5	yeast	P36018	>sp|P36018|YPT52_YEAST GTP-binding protein YPT52 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT52 PE=1 SV=1	2	1	1	16.2	11.5	11.5	26.132	3.58E+06	3.59E+06	2.94E+06		6.44E+06	4.42E+06
50Vs5	yeast	P53549	>sp|P53549|PRS10_YEAST 26S protease subunit RPT4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT4 PE=1 SV=4	4	4	3	11.7	11.7	8.9	49.408	8.22E+06	7.47E+06	8.98E+06	1.01E+07	1.89E+07	9.16E+06
25Vs12.5	yeast	O14455;P05745	>sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3;>sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36A PE=1 SV=3	7	7	7	50	50	50	11.135	1.06E+08	1.16E+08	1.09E+08	9.86E+07	1.01E+08	1.04E+08
25Vs12.5	yeast	P38765	>sp|P38765|YHI9_YEAST Uncharacterized isomerase YHI9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHI9 PE=1 SV=1	2	2	2	7.8	7.8	7.8	32.563	5.88E+06	6.11E+06	8.41E+06	5.61E+06	7.88E+06	9.73E+06
25Vs12.5	yeast	P14904	>sp|P14904|AMPL_YEAST Vacuolar aminopeptidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAP4 PE=1 SV=2	5	5	5	11.1	11.1	11.1	57.092	3.17E+07	3.65E+07	3.36E+07	3.19E+07	3.14E+07	3.05E+07
50Vs5	yeast	P46969	>sp|P46969|RPE_YEAST Ribulose-phosphate 3-epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPE1 PE=1 SV=1	1	1	1	5.5	5.5	5.5	25.967	3.98E+06	4.58E+06	3.86E+06	3.26E+06	3.79E+06	3.29E+06
25Vs12.5	yeast	A6ZRX0;P24783	>sp|A6ZRX0|DBP2_YEAS7 ATP-dependent RNA helicase DBP2 OS=Saccharomyces cerevisiae (strain YJM789) GN=DBP2 PE=3 SV=1;>sp|P24783|DBP2_YEAST ATP-dependent RNA helicase DBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP2 PE=1 SV=1	1	1	1	2.2	2.2	2.2	60.985	2.13E+06	2.18E+06	2.56E+06	2.51E+06	2.68E+06	2.51E+06
50Vs0.5	yeast	P17536	>sp|P17536|TPM1_YEAST Tropomyosin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPM1 PE=1 SV=1	8	8	8	52.3	52.3	52.3	23.54	9.15E+07	1.02E+08	1.03E+08	7.77E+07	7.00E+07	5.60E+07
50Vs0.5	yeast	P39721	>sp|P39721|AIM2_YEAST Protein AIM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM2 PE=1 SV=1	2	2	2	13.8	13.8	13.8	27.089	6.37E+06	7.22E+06	6.04E+06	1.00E+07	1.01E+07	9.18E+06
50Vs0.5	yeast	P47160	>sp|P47160|ENT3_YEAST Epsin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT3 PE=1 SV=1	1	1	1	2.5	2.5	2.5	45.091		1.99E+06		2.68E+06	1.81E+06	2.66E+06
50Vs5	yeast	P32563	>sp|P32563|VPH1_YEAST V-type proton ATPase subunit a, vacuolar isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPH1 PE=1 SV=3	4	4	4	6.3	6.3	6.3	95.528	1.21E+07	1.27E+07	1.08E+07	1.78E+07	1.51E+07	1.93E+07
25Vs12.5	yeast	P39935	>sp|P39935|IF4F1_YEAST Eukaryotic initiation factor 4F subunit p150 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF4631 PE=1 SV=2	7	7	5	8.7	8.7	6.5	107.1	1.79E+07	1.02E+07	1.53E+07	1.04E+07	1.23E+07	1.73E+07
50Vs0.5	yeast	P27476	>sp|P27476|NSR1_YEAST Nuclear localization sequence-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSR1 PE=1 SV=1	1	1	1	2.7	2.7	2.7	44.535	9.44E+06	2.62E+06	1.10E+07		2.87E+06	6.32E+06
50Vs5	yeast	Q02486	>sp|Q02486|ABF2_YEAST ARS-binding factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ABF2 PE=1 SV=1	3	3	3	16.9	16.9	16.9	21.561	1.47E+07	1.51E+07	1.46E+07	1.33E+07	1.20E+07	1.20E+07
50Vs0.5	yeast	P53849	>sp|P53849|GIS2_YEAST Zinc finger protein GIS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIS2 PE=1 SV=1	3	3	3	24.2	24.2	24.2	17.103	6.22E+06	1.02E+07	1.16E+07	6.30E+06	6.34E+06	5.92E+06
25Vs12.5	yeast	P38616	>sp|P38616|YGP1_YEAST Protein YGP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGP1 PE=1 SV=2	3	3	3	11.9	11.9	11.9	37.327	2.44E+07	2.15E+07	2.27E+07	2.06E+07	1.90E+07	2.40E+07
50Vs0.5	yeast	P53900	>sp|P53900|PFD4_YEAST Prefoldin subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIM3 PE=1 SV=1	1	1	1	9.3	9.3	9.3	15.18		2.45E+06	2.05E+06	1.85E+06	1.88E+06	2.14E+06
50Vs0.5	yeast	P15731;P15732	>sp|P15731|UBC4_YEAST Ubiquitin-conjugating enzyme E2 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC4 PE=1 SV=1;>sp|P15732|UBC5_YEAST Ubiquitin-conjugating enzyme E2-16 kDa OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC5	2	2	2	25.7	25.7	25.7	16.456	6.30E+07	6.50E+07	6.17E+07	2.95E+07	5.31E+07	5.22E+07
25Vs12.5	yeast	P40525;P87262	>sp|P40525|RL34B_YEAST 60S ribosomal protein L34-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL34B PE=1 SV=1;>sp|P87262|RL34A_YEAST 60S ribosomal protein L34-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL34A PE=1 SV=1	2	2	2	12.4	12.4	12.4	13.641	7.40E+07	7.69E+07	8.54E+07	7.15E+07	7.29E+07	7.36E+07
50Vs5	yeast	P39966	>sp|P39966|PP2C2_YEAST Protein phosphatase 2C homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTC2 PE=1 SV=1	2	2	2	5	5	5	50.388	2.86E+06	3.00E+06	2.65E+06			
50Vs0.5	yeast	P34221	>sp|P34221|PP2C3_YEAST Protein phosphatase 2C homolog 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTC3 PE=1 SV=4	2	2	2	4.7	4.7	4.7	51.331	4.91E+06	4.20E+06	4.60E+06	2.92E+06	3.11E+06	3.39E+06
25Vs12.5	yeast	A6ZM02;B3LLJ2;B5VP69;C7GVZ9;P23248	>sp|A6ZM02|RS3A2_YEAS7 40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain YJM789) GN=RPS1B PE=3 SV=1;>sp|B3LLJ2|RS3A2_YEAS1 40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain RM11-1a) GN=RPS1B PE=3 SV=1;>sp|B5VP69|RS3A2_YEAS6 40S ri	10	2	2	41.6	8.2	8.2	28.812	3.19E+07	3.31E+07	3.25E+07	3.10E+07	2.95E+07	2.97E+07
